Name,Manufacturer,Order ID,Retailer,Quantity,Observation 1,Observation 2,Suggested URL
,,,,,,,
Solenoid (either 2 ms or 7 ms model),FESTO,MHE2-M1SH-3/2G-M7-K-RR,Kiowa,1,Pneumatics,2 ms response + cable,http://www.kiowa.co.uk/422-P00043766/MHE2-M1H-3/2G-M7-K-Festo-Solenoid-valve
Precision pressure regulator,FESTO,LRP-1/4-4,RS,1,Pneumatics,0.05 to 4.0 bar,https://uk.rs-online.com/web/p/pneumatic-regulators/1215642/
Gauge,FESTO,MAP-40-4-1/8-EN,Kiowa,1,Pneumatics,"0.0 to 4.0 bar, 1/8 inch thread",http://www.kiowa.co.uk/960-P00037210/MAP-40-4-1/8-EN-Festo-Precision-pressure-gauge
"Push-in (6 mm) to thread (1/4"")",FESTO,QSL-1/4-6,RS,1,Pneumatics,6 mm to 1/4 inch,https://uk.rs-online.com/web/p/pneumatic-elbow-threaded-to-tube-adaptors/1216191/
"Push-in (4 mm) to thread (1/4"")",FESTO,QS-1/4-4,RS,1,Pneumatics,4 mm to 1/4 inch,https://uk.rs-online.com/web/p/pneumatic-straight-threaded-to-tube-adaptors/1216213/
Push-in (4 mm) to thread (M7),FESTO,QSM-M7-4-I,RS,2,Pneumatics,4 mm to M7 thread,https://uk.rs-online.com/web/p/pneumatic-straight-threaded-to-tube-adaptors/1216042/
4mm OD plastic tubing,FESTO,PUN-4x0.75,RS,12 cm,Pneumatics,4 mm OD and 10 bar,https://uk.rs-online.com/web/p/air-hose/1216280/
PicoNozzle Kit,World Precision Instrument,5430 - x,WPI,1,Pneumatics,for 1.0 / 1.2 / 1.5 / 2.0 mm glass pipettes,https://www.wpi-europe.com/products/pumps-and-microinjection/pressure-injection.aspx
,,,,,,,
Arduino Nano,Arduino,,RS,1,Electronics,nano,https://uk.rs-online.com/web/c/semiconductors/semiconductor-development-kits/processor-microcontroller-development-kits/?searchTerm=arduino%20nano&redirect-relevancy-data=636F3D3126696E3D4931384E53656172636847656E65726963266C753D656E266D6D3D6D61746368616C6C7061727469616C26706D3D5E2E2A2426706F3D31333326736E3D592673723D2673743D43415443485F414C4C5F44454641554C542673633D592677633D4E4F4E45267573743D61726475696E6F206E616E6F267374613D61726475696E6F206E616E6F26&r=f
PCB socket,Samtec,SSW-116-02-G-S ,RS,2,Electronics,"1 row, 15 pin",https://uk.rs-online.com/web/p/pcb-sockets/7655795/
Darlington pair NPN transistor,Fairchild,KSP 13BU,Farnell,1,Electronics,"Ic = 500 mA, Vces = 30 V",http://uk.farnell.com/on-semiconductor/ksp13bu/transistor-npn-30v-0-5a-to-92/dp/2825113?ost=KSP+13BU&autoc=ksp13bu&ddkey=http%3Aen-GB%2FElement14_United_Kingdom%2Fsearch
1 k? variable resistor,Vishay,249FGJSPXB25102KA ,RS,1,Electronics,panel mount,https://uk.rs-online.com/web/p/potentiometers/1679579/
Knob for variable resistor,RS Online,299-4957,RS,1,Electronics,6mm shaft radius,https://uk.rs-online.com/web/p/potentiometer-knobs/2994957/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3239392D34393537267374613D3239393439353726
DPDT switch,Multicomp,2MD3T2B2M6RE,Farnell,1,Electronics,ON-(OFF)-ON panel mount,"https://uk.farnell.com/multicomp/2md3t2b2m6re/switch-toggle-dpdt-on-off-on/dp/1550091?st=Toggle%20Switch,%20DPDT,%20ON-OFF-ON"
SPST footswitch,RS Online,335-319,RS,1,Electronics,push-to-contact,https://uk.rs-online.com/web/p/foot-switches/0335319/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3333352D333139267374613D3033333533313926
24V DC desktop PSU 2.1 mm jack,RS Online,436-058,RS,1,Electronics,24 V dc 1 A,https://uk.rs-online.com/web/p/desktop-power-supply/0436058/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3433362D303538267374613D3034333630353826
2.1 mm right angle DC socket,RS Online,884-0957,RS,1,Electronics,2.1 mm right angle,https://uk.rs-online.com/web/p/dc-power-sockets/8840957/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3838342D30393537267374613D3838343039353726
24 V Zener Diode,Semiconductor,1N5359BG,Farnell,1,Electronics,24V,http://uk.farnell.com/on-semiconductor/1n5359bg/diode-zener-24v-5w/dp/9558179
1N4148 signal diode,Fairchild,1n4148,Farnell,1,Electronics,24V,http://uk.farnell.com/vishay/1n4148tr/diode-fast-sw-100v-0-3a-do-35/dp/1469384?st=1n4148
1 k? resistor,Digikey,CF14JT1K00CT-ND,Digikey,3,Electronics,1 k? through hole resistor,https://www.digikey.com/products/en?keywords=CF14JT1K00CT-ND
220 ? resistor,Digikey,CF14JT220RCT-ND,Digikey,3,Electronics,220 ? through hole resistor,https://www.digikey.com/products/en?keywords=CF14JT220RCT-ND
Voltage step-down regulator,RS Online,533-3743,RS,1,Electronics,"5V, 3A",https://uk.rs-online.com/web/p/buck-converters/5333743/
Capacitor 680 µF,RS Online,526-1569,RS,1,Electronics,24V minimum,https://uk.rs-online.com/web/p/aluminium-capacitors/5261569/
Capacitor 220 µF,RS Online,526-1480,RS,1,Electronics,24V minimum,https://uk.rs-online.com/web/p/aluminium-capacitors/5261480/
Diode 1N5824,RS Online,714-6819 ,RS,1,Electronics,24V minimum,https://uk.rs-online.com/web/p/rectifier-schottky-diodes/7146819/
Inductor 33 µH,Bourns,RLB0914-330KL,Farnell,1,Electronics,,https://uk.farnell.com/bourns/rlb0914-330kl/inductor-33uh/dp/2309242
3 mm LED,Digikey,350-1557-ND,Digikey,1,Electronics,"3mm round, throughhole, grn",https://www.digikey.com/product-detail/en/dialight/5219210F/350-1557-ND/808955
Mount for 3 mm LED,Digikey,67-1330-ND,Digikey,1,Electronics,3mm panel mount,https://www.digikey.com/products/en?keywords=67-1330-ND
BNC coaxial connectors,TE Connectivity,1-1337542-0,Farnell,2,Electronics,"Right angle jacks, 50ohm",https://uk.farnell.com/greenpar-te-connectivity/1-1337542-0/rf-coaxial-bnc-right-angle-jack/dp/1020954?st=bnc%20pcb%20mout
Cable Mount BNC Connector,RS Online,546-3721,RS,1,Electronics,Plug Crimp Termination,https://uk.rs-online.com/web/p/bnc-connectors/5463721/
2 way screw terminal block,Phoenix contact,1985807 ,RS,2,Electronics,3.5mm pitch,https://uk.rs-online.com/web/p/products/4670259/?grossPrice=Y&cm_mmc=UK-PLA-DS3A-_-google-_-PLA_UK_EN_Connectors-_-Pcb_Connectors%7CPcb_Terminal_Blocks-_-PRODUCT+GROUP&matchtype=&pla-447115742847&gclid=EAIaIQobChMIyIGw5qKm3QIVybTtCh2k9wexEAQYAyABEgJG8fD_BwE&gclsrc=aw.ds
2 distinc colour wires,RS Online,331-862,RS,20 cm,Electronics,20 AWG,https://uk.rs-online.com/web/p/hookup-equipment-wire/0331862/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3333312D383632267374613D3033333138363226
Cable shrink,RS Online,170-6377,RS,5 cm,Electronics,Shrunk diameter 1.2 mm,https://uk.rs-online.com/web/p/heat-shrink-cold-shrink-sleeves/1706377/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3137302D36333737267374613D3137303633373726
,,,,,,,
M3 x 24 screw,RS Online,293-325,RS,4,Mechanical,M3 x 24 Hex socket cap,https://uk.rs-online.com/web/p/socket-screws/0293325/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3239332D333235267374613D3032393333323526
M3 nut,RS Online,122-4400,RS,4,Mechanical,M3 nuts,https://uk.rs-online.com/web/p/hex-nuts/1224400/?relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D626572266C753D656E266D6D3D6D61746368616C6C26706D3D5E282872737C5253295B205D3F293F2832355C647B387D7C32355C647B317D5C2D5C647B377D7C5C647B337D5B5C2D5D3F5C647B332C347D5B70505D3F292426706F3D3126736E3D592673723D2673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3132322D34343030267374613D3132323434303026
M3 x 5 machine screw,RS Online,489-9315,RS,2,Mechanical,M3 x 5mm screw,https://uk.rs-online.com/web/p/machine-screws/4899315/
